Observation,Region,Country,Latitude,Longitude,GC,MAT,MAP,Biomes,Biomes_Detail,Sand,Silt,Clay,Magnitude1,Magnitude2,Magnitude3,LUC,LUC_Detail,Duration,Depth,pH_C,pH_T,RR_pH,pH,pH_var,Csoil,Csoil_var,Nsoil,Nsoil_var,CNsoil,CNsoil_var,Nmin,Nmin_var,Nfixation,Nfixation_var,Nitrification,Nitrification_var,Denitrification,Denitrification_var,Meth,Meth_var,MicrobialBiomass,MicrobialBiomass_var,MicrobialBiomass_Detail,Respiration,Respiration_var,Respiration_Detail,MicrobialGroup,MicrobialGroup1,MicrobialGroup_Detail,OTU,OTU_var,Chao,Chao_var,ACE,ACE_var,Shannon,Shannon_var,BG,BG_var,AG,AG_var,NAG,NAG_var,LAP,LAP_var,AP,AP_var,CEL,CEL_var,XYL,XYL_var,PO,PO_var,PER,PER_var,Urease,Urease_var,Invertase, Invertase_var,EnzymeMethod,EnzymeTem
105,Sichuan,China,32.83038333,102.5872833,W,1.1,725.0,Grassland,Alpine meadow,,,,3.72,,,,,5.0,0–10,,,,,,-0.179224317,0.002656888,-0.159064695,0.001405324,-0.020159623,0.021060631,,,,,,,,,,,-0.135405564,0.000530016,PLFA,,,,Bacteria,Bacteria,Bacteria,-0.011150648,0.005284117,-0.012539349,0.00175575,,,-0.00231214,0.00048774,,,,,,,,,0.225550637,0.010367964,,,,,,,,,0.398553016,0.007726525,0.393374908,0.010835163,Colorimetric,Unknow
106,,,32.83038333,102.5872833,W,1.1,725.0,Grassland,Alpine meadow,,,,3.72,,,,,5.0,10–20,,,,,,0.446969981,0.010806754,0.356674944,0.001216327,0.090295037,0.021060631,,,,,,,,,,,-0.192010651,0.015814087,PLFA,,,,Bacteria,Bacteria,Bacteria,-0.063387552,0.000894792,-0.112117298,0.002756834,,,-0.011641575,7.25446e-05,,,,,,,,,,,,,,,,,,,0.19462778,0.041757928,-0.329162192,0.146325616,Colorimetric,Unknow
107,Qinghai,China,34.82277778,92.93416667,W,-3.8,290.9,Grassland,Alpine meadow,,,,1.12,,,,,1.0,0–10,7.91,8.13,0.027433142,0.22,3.25008e-05,-0.090862941,0.093631781,0.041964199,0.090568924,-0.11170399,0.001186648,,,,,,,,,,,,,,0.083430014,0.151439805,field,Bacteria,Bacteria,Bacteria,-0.108633841,0.003225061,,,,,-0.007759496,0.000105723,,,,,,,,,,,,,,,,,,,,,,,,
108,,,34.82277778,92.93416667,W,-3.8,290.9,Grassland,Alpine meadow,,,,2.42,,,,,1.0,0–10,7.91,8.27,0.044506727,0.36,2.23203e-05,-0.113648737,0.081855112,-0.0588405,0.073629954,-0.041499731,0.001440923,1.718586692,0.47584123,,,,,,,,,0.284553569,0.029703095,MBC,0.281756144,0.079901164,field,Bacteria,Bacteria,Bacteria,0.028193571,0.008143632,,,,,-0.00290276,0.000158156,,,,,,,,,,,,,,,,,,,,,,,,
109,Inner Mongolia,China,42.03333333,116.2833333,LUC,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,,,,NEtoPas,Semi-arid grassland to pasture,6.0,0–10,7.22,7.0,-0.030944804,-0.22,0.000145019,-0.067822596,0.008651392,-0.045368605,0.003194796,-0.022453991,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.019007964,0.000552811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,10.0,,,,,6.0,0–10,7.22,6.43,-0.115880415,-0.79,0.000115767,0.032260862,0.00871752,0.047252885,0.006380819,-0.014992023,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.028111106,0.000204258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,42.03333333,116.2833333,P,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,5.0,,,,,6.0,0–10,7.22,7.11,-0.015352709,-0.11,0.000143453,-0.085522173,0.005288603,0.039530839,0.003579493,-0.125053012,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.005769751,0.000191472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland with cliping,62.8,20.3,16.9,10.0,,,,,6.0,0–10,7.0,6.49,-0.075647618,-0.51,0.000452254,0.092115289,0.010328687,0.0,0.002439068,0.092115289,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.02975605,0.000801595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,42.03333333,116.2833333,P,2.1,383.0,Grassland,Semi-arid grassland with cliping,62.8,20.3,16.9,5.0,,,,,6.0,0–10,7.0,7.06,0.008534902,0.06,0.00044425,0.00873368,0.017121156,0.065329348,0.003154073,-0.056595668,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.012712036,0.000591736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,42.03333333,116.2833333,N_P,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,10.0,5.0,,,,6.0,0–10,7.22,6.52,-0.101980577,-0.7,0.001131392,0.078780878,0.003853507,0.00402415,0.004201822,0.074756728,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.050963025,0.000157282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,42.03333333,116.2833333,N_P,2.1,383.0,Grassland,Semi-arid grassland with cliping,62.8,20.3,16.9,10.0,5.0,,,,6.0,0–10,7.0,6.57,-0.063396317,-0.43,8.80876e-05,0.115831816,0.006782003,0.073203404,0.003399888,0.042628412,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.034710643,0.000593295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,42.03333333,116.2833333,LUC,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,,,,NEtoPas,Semi-arid grassland to pasture,6.0,0–10,7.22,7.0,-0.030944804,-0.22,0.000145019,0.193584749,0.009939027,-0.112740623,0.005903228,0.306325372,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.019007964,0.000552811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,10.0,,,,,6.0,0–10,7.22,6.43,-0.115880415,-0.79,0.000115767,0.201552919,0.015256594,-0.084341148,0.003825198,0.285894067,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.028111106,0.000204258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,30.0,,,,,6.0,0–10,7.22,7.32,0.013755375,0.1,0.000280627,-0.029558802,0.022035027,-0.007380107,0.005729813,-0.022178695,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.004192878,0.000254141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland with cliping,62.8,20.3,16.9,10.0,,,,,6.0,0–10,7.0,6.49,-0.075647618,-0.51,0.000452254,-0.136965855,0.009121608,0.086668383,0.003773386,-0.223634238,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.02975605,0.000801595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland with cliping,62.8,20.3,16.9,30.0,,,,,6.0,0–10,7.0,7.24,0.033711057,0.24,6.81902e-05,-0.136965855,0.014424192,0.063766618,0.005783871,-0.200732473,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.004808986,0.000515089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,42.03333333,116.2833333,N_PPT+,2.1,383.0,Grassland,Semi-arid grassland with cliping,62.8,20.3,16.9,10.0,30.0,,,,6.0,0–10,7.0,6.86,-0.020202707,-0.14,0.000104145,-0.100925919,0.010135467,-0.004123717,0.004928146,-0.096802201,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,0.012185581,0.000734159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,42.03333333,116.2833333,N_PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,10.0,30.0,,,,6.0,0–10,7.22,6.78,-0.062877851,-0.44,0.000722691,0.152762755,0.010135027,-0.084341148,0.003057198,0.237103903,0.021060631,,,,,,,,,,,,,,,,,Bacteria,Bacteria,Bacteria,-0.006822383,0.000308087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,30.0,,,,,6.0,0–10,7.18,7.41,0.031531056,0.23,0.000300277,-0.050686525,0.004161831,-0.020040751,0.002954417,-0.030645774,0.021060631,,,,,,,,,,,0.223144118,0.006859817,MBC,,,,Bacteria,Bacteria,Bacteria,-0.023037668,0.000217642,,,,,,,-0.232018447,0.009325019,,,0.150638454,0.001132861,0.254088834,0.008874825,0.105329718,0.002882256,,,,,,,,,,,,,Colorimetric,37
124,,,42.03333333,116.2833333,W,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,1.0,,,,,6.0,0–10,7.18,7.09,-0.012614043,-0.09,0.00033219,-0.139432507,0.005499636,-0.016000341,0.002945975,-0.123432166,0.021060631,,,,,,,,,,,0.089612887,0.003066635,MBC,,,,Bacteria,Bacteria,Bacteria,-0.009883045,7.46101e-05,,,,,,,-0.112114939,0.006430295,,,0.054662326,0.001117151,0.175031709,0.007068575,0.104624601,0.003736969,,,,,,,,,,,,,Colorimetric,37
125,Inner Mongolia,China,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,5.0,,,,,8.0,0–15,6.4,6.46,0.009331327,0.06,0.00032938,0.035699329,0.000566994,0.056280836,0.0007296,-0.005184045,8.71688e-05,,,,,,,,,,,-0.23125218,0.018169784,MBC,,,,Bacteria,Bacteria,Bacteria,-0.006603554,0.013959074,-0.031905255,0.026922684,,,-0.000313635,0.007567518,-0.050552409,0.013769882,,,-0.043137498,0.003643024,,,-0.220150023,0.019845852,,,,,,,,,,,,,Colorimetric,37
126,,,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,10.0,,,,,8.0,0–15,6.4,5.97,-0.069551063,-0.43,0.000436827,-0.029286258,0.000315655,-0.010582109,0.000563497,-0.003107201,0.000137902,,,,,,,,,,,-0.416054688,0.017367295,MBC,,,,Bacteria,Bacteria,Bacteria,-0.054563161,0.013959074,-0.097654338,0.026922684,,,-0.009820509,0.007567518,-0.160036945,0.018233275,,,0.303887566,0.022919139,,,-0.288382125,0.017579531,,,,,,,,,,,,,Colorimetric,37
127,,,42.03333333,116.2833333,N,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,15.0,,,,,8.0,0–15,6.4,5.9,-0.081345639,-0.5,0.000472969,0.014854385,0.002880801,0.005249356,0.002584694,0.024516039,0.000133723,,,,,,,,,,,-0.701609854,0.017988153,MBC,,,,Bacteria,Bacteria,Bacteria,-0.129217335,0.013959074,-0.228892823,0.026922684,,,-0.029862865,0.007567518,-0.412531962,0.022569428,,,0.310325092,0.039342515,,,-0.310980437,0.02877269,,,,,,,,,,,,,Colorimetric,37
128,,,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,50.0,,,,,8.0,0–15,6.4,6.45,0.00778214,0.05,0.000194709,0.045961092,0.001152987,0.071095922,0.001126038,-0.007265211,0.000129599,,,,,,,,,,,0.326929795,0.016078935,MBC,,,,Bacteria,Bacteria,Bacteria,0.036670377,0.013959074,-0.014009805,0.026922684,,,0.01306582,0.007567518,0.712327965,0.019135325,,,0.00294854,0.00269406,,,0.389136858,0.011517506,,,,,,,,,,,,,Colorimetric,37
129,,,42.03333333,116.2833333,N_PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,5.0,50.0,,,,8.0,0–15,6.4,6.39,-0.001563722,-0.01,0.000949743,0.054095351,0.001775888,0.090514008,0.002196833,-0.019843993,7.37854e-05,,,,,,,,,,,0.095054785,0.020102356,MBC,,,,Bacteria,Bacteria,Bacteria,0.048949226,0.013959074,0.022455693,0.026922684,,,0.016574246,0.007567518,0.503757936,0.016481693,,,0.080637556,0.005955637,,,0.259502344,0.014983871,,,,,,,,,,,,,Colorimetric,37
130,,,42.03333333,116.2833333,N_PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,10.0,50.0,,,,8.0,0–15,6.4,6.13,-0.04310324,-0.27,0.000326567,0.078602704,0.007961106,0.085694721,0.006464511,0.006185587,0.000155483,,,,,,,,,,,-0.069795762,0.018827108,MBC,,,,Bacteria,Bacteria,Bacteria,0.034335128,0.013959074,0.001880016,0.026922684,,,0.007580776,0.007567518,0.29119686,0.017647841,,,0.13888997,0.021799458,,,0.086854815,0.01358734,,,,,,,,,,,,,Colorimetric,37
131,,,42.03333333,116.2833333,N_PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,15.0,50.0,,,,8.0,0–15,6.4,5.86,-0.088148387,-0.54,0.000419066,0.059649518,0.003582312,0.071095922,0.002513725,0.006185587,0.00025266,,,,,,,,,,,-0.533394245,0.040454958,MBC,,,,Bacteria,Bacteria,Bacteria,0.000288871,0.013959074,-0.076173216,0.026922684,,,0.00447396,0.007567518,0.177025834,0.018501518,,,0.350937062,0.010870255,,,0.037178047,0.013451719,,,,,,,,,,,,,Colorimetric,37
132,Oklahoma,USA,34.98166667,-97.52055556,W,16.3,900.0,Grassland,Tallgrass prairie,,,,2.0,,,,,10.0,0–15,7.648333333,7.576666667,-0.00941441,-0.071666667,0.001919165,0.097635643,0.026907583,-0.21007147,0.023787293,0.307707113,0.021060631,-0.015625237,0.140335498,,,,,,,,,0.302302613,0.017587176,PLFA,0.073629479,0.005235768,lab,Bacteria,Bacteria,Bacteria,0.081408743,0.013959074,0.013473831,0.000808658,-0.057540604,0.000103281,0.004937092,0.007567518,,,,,,,,,,,,,,,0.046318794,0.107921257,-0.692107014,0.548318201,,,,,Microplates,25
135,Kansas,USA,39.08333333,-96.58333333,W,13.0,835.0,Grassland,Tallgrass prairie,,,,1.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fungi,Fungi,Fungi,-0.088956362,0.01667209,,,,,0.025317808,0.006833334,,,,,,,,,,,,,,,,,,,,,,,,
151,Inner Mongolia,China,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,1.5,,,,,3.0,0–20,7.07,7.15,0.011251877,0.08,0.000110964,0.081474347,0.000415881,-0.027398974,0.000357959,0.108873321,0.021060631,,,,,,,,,,,0.101110582,0.00125735,MBC,,,,Bacteria,Bacteria,Bacteria,0.018577013,0.000573429,,,,,0.008391577,0.000104389,,,,,,,,,0.037060178,0.005333686,,,,,-0.045724307,0.016814883,,,0.046883964,0.002480831,,,Colorimetric,Unknow
152,,,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,3.0,,,,,3.0,0–20,7.07,7.09,0.002824861,0.02,8.31894e-06,0.001431639,0.000116562,0.005390849,0.000432101,-0.003959209,0.021060631,,,,,,,,,,,0.140983588,0.007344881,MBC,,,,Bacteria,Bacteria,Bacteria,-0.044737453,0.001619959,,,,,-0.011726671,0.000320846,,,,,,,,,-0.046228855,0.004454946,,,,,-0.069395154,0.010685456,,,0.253092474,0.009704349,,,Colorimetric,Unknow
153,,,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,5.0,,,,,3.0,0–20,7.07,7.04,-0.00425231,-0.03,5.67123e-06,-0.014066959,0.000324178,-0.021858794,0.000332012,0.007791835,0.021060631,,,,,,,,,,,-0.088567174,0.007063749,MBC,,,,Bacteria,Bacteria,Bacteria,0.006230761,0.00064812,,,,,-0.001333128,0.000130121,,,,,,,,,-0.064304443,0.007098186,,,,,-0.039894184,0.022314679,,,0.24059223,0.034290538,,,Colorimetric,Unknow
154,,,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,10.0,,,,,3.0,0–20,7.07,6.91,-0.022890842,-0.16,1.09198e-05,0.146961576,5.17008e-05,0.087911872,0.000348424,0.059049704,0.021060631,,,,,,,,,,,-0.072512143,0.001184385,MBC,,,,Bacteria,Bacteria,Bacteria,0.072319517,0.000872992,,,,,0.049593644,0.000125874,,,,,,,,,0.274993424,0.017965895,,,,,-0.156948179,0.013571509,,,0.084341816,0.004484277,,,Colorimetric,Unknow
155,,,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,15.0,,,,,3.0,0–20,7.07,6.97,-0.014245255,-0.1,8.42258e-06,0.150665284,0.000350555,0.14562019,0.000315302,0.005045094,0.021060631,,,,,,,,,,,-0.209051477,0.002343817,MBC,,,,Bacteria,Bacteria,Bacteria,0.030772691,0.000912466,,,,,0.040359387,0.000122161,,,,,,,,,0.131074922,0.004894947,,,,,-0.143962775,0.014274109,,,0.054488623,0.003836274,,,Colorimetric,Unknow
156,,,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,20.0,,,,,3.0,0–20,7.07,7.02,-0.007097262,-0.05,6.68775e-06,0.042081945,9.11161e-05,0.0,0.000355491,0.042081945,0.021060631,,,,,,,,,,,-0.345012752,0.00844253,MBC,,,,Bacteria,Bacteria,Bacteria,0.030772691,0.000569651,,,,,0.03935084,9.77892e-05,,,,,,,,,0.101163222,0.005202977,,,,,-0.210654801,0.03108686,,,-0.14618381,0.005225057,,,Colorimetric,Unknow
157,,,48.5,119.7,N,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,30.0,,,,,3.0,0–20,7.07,6.83,-0.034535806,-0.24,3.42745e-05,-0.001075076,0.000311289,0.0,0.000355491,-0.001075076,0.021060631,,,,,,,,,,,-0.382950509,0.004504606,MBC,,,,Bacteria,Bacteria,Bacteria,0.030772691,0.000912466,,,,,0.040143555,0.000147772,,,,,,,,,0.06517137,0.01110237,,,,,-0.297038124,0.016952047,,,-0.016129516,0.002081606,,,Colorimetric,Unknow
158,,,48.5,119.7,PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,30.0,,,,,3.0,0–20,7.07,7.04,-0.00425231,-0.03,1.3742e-05,0.085428224,0.000170524,-0.038572275,0.000359006,0.124000499,0.021060631,,,,,,,,,,,0.21763435,0.001732576,MBC,,,,Bacteria,Bacteria,Bacteria,0.012598657,0.000933939,,,,,0.018665958,0.000161847,,,,,,,,,0.189805911,0.005327686,,,,,0.183249367,0.018765202,,,0.253092474,0.010900306,,,Colorimetric,Unknow
159,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,1.5,30.0,,,,3.0,0–20,7.07,7.03,-0.005673774,-0.04,6.23284e-05,0.078167466,0.000115428,-0.016349138,0.000392169,0.094516604,0.021060631,,,,,,,,,,,0.264989272,0.00439033,MBC,,,,Bacteria,Bacteria,Bacteria,0.067522177,0.000622242,,,,,0.039938819,0.000137615,,,,,,,,,0.184656881,0.004842526,,,,,0.228712196,0.027889824,,,0.289682151,0.003928424,,,Colorimetric,Unknow
160,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,3.0,30.0,,,,3.0,0–20,7.07,6.94,-0.018558705,-0.13,4.72061e-05,0.071520715,0.000161484,-0.021858794,0.000357449,0.093379509,0.021060631,,,,,,,,,,,0.368984564,0.005900499,MBC,,,,Bacteria,Bacteria,Bacteria,0.062314072,0.000787124,,,,,0.033637002,0.000193231,,,,,,,,,0.284201439,0.005700827,,,,,0.305675166,0.016885344,,,0.397435644,0.001284165,,,Colorimetric,Unknow
161,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,5.0,30.0,,,,3.0,0–20,7.07,6.94,-0.018558705,-0.13,5.51651e-05,0.167770161,7.67405e-05,0.097764169,0.000315668,0.070005992,0.021060631,,,,,,,,,,,0.239888121,0.006153544,MBC,,,,Bacteria,Bacteria,Bacteria,0.109029704,0.001302954,,,,,0.058877362,0.000135866,,,,,,,,,0.262821028,0.006099534,,,,,0.28907653,0.01074192,,,0.413436073,0.001471938,,,Colorimetric,Unknow
162,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,10.0,30.0,,,,3.0,0–20,7.07,6.91,-0.022890842,-0.16,1.09198e-05,0.18785778,5.61743e-05,0.072949,0.000416879,0.11490878,0.021060631,,,,,,,,,,,0.044138051,0.002856994,MBC,,,,Bacteria,Bacteria,Bacteria,-0.047719003,0.001286204,,,,,-0.019983329,0.000227094,,,,,,,,,0.240981348,0.00478451,,,,,0.120880555,0.023075845,,,0.449798647,0.002299554,,,Colorimetric,Unknow
163,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,15.0,30.0,,,,3.0,0–20,7.07,6.91,-0.022890842,-0.16,1.09198e-05,0.159254294,0.000112579,0.117182255,0.0003733,0.042072039,0.021060631,,,,,,,,,,,0.028434324,0.002925594,MBC,,,,Bacteria,Bacteria,Bacteria,-0.053333483,0.002269908,,,,,-0.017346931,0.000184918,,,,,,,,,0.257772751,0.004481771,,,,,0.105916078,0.013748312,,,0.277633738,0.006313339,,,Colorimetric,Unknow
164,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,20.0,30.0,,,,3.0,0–20,7.07,6.83,-0.034535806,-0.24,8.55045e-06,0.231418673,0.000129434,0.159541528,0.000315202,0.071877145,0.021060631,,,,,,,,,,,0.090441081,0.005199813,MBC,,,,Bacteria,Bacteria,Bacteria,-0.033059781,0.000591627,,,,,-0.015917176,0.000124387,,,,,,,,,0.290614915,0.005402761,,,,,0.011109688,0.016094654,,,0.295652355,0.001909799,,,Colorimetric,Unknow
165,,,48.5,119.7,N_PPT+,1.6,328.7,Grassland,Stipa Baicalansis steppe,,,,30.0,30.0,,,,3.0,0–20,7.07,6.76,-0.04483759,-0.31,1.84647e-05,0.167467268,8.66416e-05,0.204594192,0.000324601,-0.037126924,0.021060631,,,,,,,,,,,0.041962642,0.001131221,MBC,,,,Bacteria,Bacteria,Bacteria,-0.098936647,0.001214995,,,,,-0.034255732,0.000208841,,,,,,,,,0.277754139,0.00572607,,,,,-0.105984084,0.013236743,,,0.347838421,0.004215985,,,Colorimetric,Unknow
178,Inner Mongolia,China,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,20.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,0.077860315,0.018072833,MBC,0.221535683,0.017032805,lab,Bacteria,Bacteria,Bacteria,0.247736787,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,42.03333333,116.2833333,PPT-,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,60.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,-0.055136184,0.018697656,MBC,-1.222756057,0.02176595,lab,Bacteria,Bacteria,Bacteria,0.010018116,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,40.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,0.195227125,0.01082028,MBC,0.316478364,0.01790737,lab,Bacteria,Bacteria,Bacteria,0.250559654,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,42.03333333,116.2833333,PPT-,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,40.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,-0.004565063,0.018680218,MBC,-0.850384354,0.01954139,lab,Bacteria,Bacteria,Bacteria,0.004019298,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,42.03333333,116.2833333,PPT+,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,60.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,0.013571467,0.021046871,MBC,0.162750956,0.017166285,lab,Bacteria,Bacteria,Bacteria,0.092053721,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,42.03333333,116.2833333,PPT-,2.1,383.0,Grassland,Semi-arid grassland,62.8,20.3,16.9,20.0,,,,,3.0,0–10,,,,,,,,,,,,,,,,,,,,,,0.056567839,0.016985137,MBC,-0.229881821,0.017049742,lab,Bacteria,Bacteria,Bacteria,0.107573128,0.013959074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,California,USA,37.66666667,-122.3666667,PPT+,3.6,787.0,Grassland,California annual grassland,37.0,48.0,15.0,50.0,,,,,4.0,0–7,,,,,,,,,,,,,,,,,,,,,,0.100124474,0.014445106,FLFA,,,,Bacteria,Bacteria,Bacteria,-0.082826215,0.00251352,,,,,,,-0.063252013,0.001343512,-0.274813531,0.005729546,-0.105366294,0.002834846,,,-0.172670856,0.007144307,-0.227357252,0.007245654,-0.184091678,0.005185094,0.120362653,0.010075645,,,,,,,Microplates,25
215,California,USA,33.73333333,-117.7,PPT-,17.0,325.0,Grassland,California annual grassland,,,,50.0,,,,,5.0,Forest floor,,,,,,,,,,,,,,,,,,,,,,,,,0.172470092,0.043299049,lab,Bacteria,Bacteria,Bacteria,0.080445365,0.013959074,,,,,-0.031676857,0.001731406,-0.054584919,0.010843949,-0.131927543,0.030497364,-0.22322358,0.023564001,0.338171472,0.12703909,-0.084412431,0.019693436,-0.196121718,0.018509656,-0.1597451,0.012605268,0.063454118,0.026255624,-0.321098069,0.198732558,,,,,Microplates,Unknow
216,,,33.73333333,-117.7,N,17.0,325.0,Grassland,California annual grassland,,,,6.0,,,,,5.0,Forest floor,,,,,,,,,,,,,,,,,,,,,,,,,0.276527586,0.043299049,lab,Bacteria,Bacteria,Bacteria,0.027540467,0.013959074,,,,,0.01107431,0.001658216,0.1334075,0.010773239,0.067868644,0.046988729,0.087891271,0.030761843,0.458027438,0.084912594,0.201256478,0.011824499,0.161800576,0.023143072,0.122487368,0.009168271,0.11026178,0.036824901,-0.096014653,0.170217286,,,,,Microplates,Unknow
217,,,33.73333333,-117.7,PPT-,17.0,325.0,Grassland,California annual grassland,,,,50.0,,,,,5.0,Forest floor,,,,,,,,,,,,,,,,,,,,,,,,,0.172470092,0.043299049,lab,Fungi,Fungi,Fungi,-0.09927407,0.013959074,,,,,-0.148710957,0.001711997,-0.054584919,0.010843949,-0.131927543,0.030497364,-0.22322358,0.023564001,0.338171472,0.12703909,-0.084412431,0.019693436,-0.196121718,0.018509656,-0.1597451,0.012605268,0.063454118,0.026255624,-0.321098069,0.198732558,,,,,Microplates,Unknow
